ID,Case Name,Case Number,Country of Prosecution,Court,Date,Year,Country of Commission,Crimes Charged,Jurisdictional Basis,Jurisdiction Type,Outcome,Outcome Type,Corporate Defendant,Original Language,Specialized Unit,Summary,Key Legal Findings,Decision Link,NGOs,Victims Organizations,Legal Representatives,TRIAL International,UJAR,CFJ Tool,Amnesty,Judicial Decisions Count,Additional Sources
norway-bugingo-rwanda,Sadi Bugingo (Rwanda — complicity in genocide),LB-2014-172481,Norway,Borgarting lagmannsrett,2015-02-13,2015,Rwanda,"Complicity in genocide (murder of approx. 2,000 Tutsi at Kibungo)",Universal jurisdiction,criminal,21 years imprisonment (upheld on appeal),conviction,No,Norwegian,Kripos — National War Crimes Section,"Rwandan businessman convicted in Norway for organizing and directing massacres in the Kibungo region during the 1994 Rwandan genocide. Norway's first genocide conviction. The Court of Appeal upheld the 21-year sentence imposed by Oslo District Court, applying the ordinary murder provisions of the 1902 Penal Code because the 2008 war-crimes/genocide provisions could not apply retroactively.",Genocide conduct prosecuted as murder (non-retroactivity bar) | Universal jurisdiction | Evidence gathered via international cooperation with Rwanda,https://lovdata.no/dokument/LBSTR/avgjorelse/lb-2014-172481,,,,,,,,2,TRIAL International — Bugingo: https://trialinternational.org/latest-post/sadi-bugingo/
finland-bazaramba-rwanda,François Bazaramba (Rwanda — genocide),KKO:2014:93,Finland,Itä-Uudenmaan käräjäoikeus; Helsinki hovioikeus; Korkein oikeus,2014-12-12,2014,Rwanda,Genocide (Rwanda 1994),Universal jurisdiction (RL 1:7),criminal,"Life imprisonment (final, upheld by Supreme Court)",conviction,No,Finnish,Finnish National Bureau of Investigation (KRP),"Rwandan Baptist pastor prosecuted in Finland for organizing and participating in the killing of Tutsi during the 1994 genocide in the Nyakizu commune. Finland's first genocide trial. The court conducted unprecedented hearings on Rwandan soil. The Supreme Court (Korkein oikeus) upheld the life sentence in 2014, confirming Finnish universal jurisdiction over genocide and the admissibility of evidence collected abroad.",Universal jurisdiction over genocide | Hearings conducted in Rwanda by Finnish court | Witness evidence collection methodology,https://finlex.fi/fi/oikeuskaytanto/korkein-oikeus/ennakkopaatokset/2014/93,,,,,,,,3,ICD — Bazaramba: https://www.internationalcrimesdatabase.org/Case/1208/Bazaramba/ | TRIAL International — Bazaramba: https://trialinternational.org/latest-post/francois-bazaramba/
norway-gedi-somalia,Mahad Abas Gedi (Somalia — al-Shabaab),HR-2020-1340-A,Norway,Norges Høyesterett,2020-08-28,2020,Somalia,Terrorism; Complicity in war crimes (al-Shabaab killings),Active personality (Norwegian resident),criminal,Supreme Court ruling on liability; remitted for retrial,ongoing,No,Norwegian,Kripos / PST,"Somali-Norwegian national prosecuted for participating in al-Shabaab attacks in Somalia. The Supreme Court issued a landmark ruling on the criminal liability of foreign fighters for participation in a terrorist organization that conducts war crimes, clarifying the boundary between terrorism offences and IHL violations.",Foreign-fighter liability framework | Terrorism vs. war crimes characterization | Active personality jurisdiction,https://lovdata.no/dokument/HRENG/avgjorelse/hr-2020-1340-a-eng,,,,,,,,1,
germany-rwabukombe-rwanda,Onesphore Rwabukombe (Rwanda — Kiziguro church massacre),3 StR 233/13,Germany,Bundesgerichtshof / OLG Frankfurt am Main,2015-05-21,2015,Rwanda,Genocide,Universal jurisdiction (§ 6 StGB),criminal,Life imprisonment (after BGH reversal and retrial),conviction,No,German,ZBKV / GBA,"Former Rwandan burgomaster tried in Frankfurt for orchestrating the Kiziguro church massacre (~400 Tutsi victims, April 1994). The BGH's 2015 landmark ruling reclassified his role from mere aiding to genocidal co-perpetration (Mittäterschaft), and on retrial the OLG Frankfurt imposed a life sentence.",Co-perpetration of genocide (Mittäterschaft) | Mobilising and directing killers as genocidal authorship,https://www.hrr-strafrecht.de/hrr/3/13/3-233-13.php,ECCHR; TRIAL International,,,,,,,2,
netherlands-kouwenhoven-liberia,Guus Kouwenhoven (Liberia — arms-for-timber),ECLI:NL:GHSHE:2017:1760,Netherlands,Gerechtshof 's-Hertogenbosch / Hoge Raad,2017-04-21,2017,Liberia,War crimes; Complicity in murder; Illegal arms trafficking; Use of child soldiers,Active personality (Dutch national),criminal,19 years' imprisonment (upheld by Hoge Raad 2018),conviction,Yes,Dutch,,"Dutch timber tycoon convicted for supplying weapons and logistics to Charles Taylor's forces in exchange for logging concessions, making him complicit in atrocities including mass murder. The first Dutch conviction of a businessman for international crimes; the Hoge Raad upheld the conviction in 2018.",Corporate complicity in war crimes | Active personality jurisdiction over Dutch nationals abroad,https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:GHSHE:2017:1760,Global Witness; Open Society Justice Initiative,,,,,,,2,
belgium-ntuyahaga-paras,Bernard Ntuyahaga (Rwanda — killing of 10 Belgian UNAMIR paracommandos),Cour d'assises Bruxelles 2007,Belgium,Cour d'assises de Bruxelles-Capitale,2007-07-05,2007,Rwanda,War crimes; Murder of UN peacekeepers,"Universal jurisdiction (loi du 16 juin 1993, amended)",criminal,20 years' imprisonment,conviction,No,French,,"Rwandan Army major originally indicted by the ICTR, transferred to Belgium after the ICTR Prosecutor withdrew charges. The Brussels Assizes convicted him for ordering the murder of 10 Belgian peacekeepers on 7 April 1994 — the crime that precipitated Belgium's UN troop withdrawal.",UJ over war crimes against UN peacekeepers | Transfer from international to national jurisdiction,https://francegenocidetutsi.org/NtuyahagaCourAssisesArret05juillet2007.html.en,TRIAL International; FIDH,,,,,,,1,
denmark-saric-bosnia,"Refik Sarić (Bosnia — Dretelj camp, Denmark's first UJ case)",Højesteret 1995,Denmark,Østre Landsret / Højesteret,1995-08-15,1995,Bosnia and Herzegovina,Torture; War crimes,Universal jurisdiction (Danish Penal Code § 8(5); CAT),criminal,8 years' imprisonment,conviction,No,Danish,,Bosnian Croat living in Denmark convicted for personally torturing Muslim prisoners of war at the Dretelj detention camp in 1993. Denmark's first extra-territorial prosecution for international crimes and one of the earliest European UJ torture convictions.,Earliest European UJ torture conviction post-CAT | Sufficiency of CAT obligations as basis for domestic prosecution,https://hudoc.echr.coe.int/eng?i=001-21998,,,,,,,,1,
austria-cvjetkovic-bosnia,Duško Cvjetković (Bosnia — first European UJ genocide trial),OGH 13Os4/94,Austria,Landesgericht Salzburg / Oberster Gerichtshof,1994-06-21,1994,Bosnia and Herzegovina,Genocide,Universal jurisdiction (§ 65(1)(2) StGB; Genocide Convention),criminal,Acquitted (insufficient evidence); OGH affirmed UJ competence,acquittal,No,German,,"The first person ever tried for genocide in Europe under universal jurisdiction, brought before a Salzburg jury for alleged massacres of Bosniaks in the Foča area in 1992. Despite acquittal on evidentiary grounds, the OGH affirmed Austria's jurisdictional competence under the Genocide Convention — a foundational European UJ precedent.",Austrian UJ over genocide under Genocide Convention | First European UJ genocide trial,https://www.ris.bka.gv.at/Dokument.wxe?Abfrage=Justiz&Dokumentnummer=JJT_19940621_OGH0002_0130OS00004_9400000_000,,,,,,,,2,
sweden-mbanenande-rwanda,Stanislas Mbanenande (Rwanda — Sweden's first genocide conviction),Stockholms tingsrätt B 4084-12,Sweden,Stockholms tingsrätt / Svea hovrätt,2013-06-20,2013,Rwanda,Genocide; Gross violation of international law,Universal jurisdiction / active personality (Swedish citizen),criminal,Life imprisonment (upheld on appeal 2014),conviction,No,Swedish,,"Swedish citizen of Rwandan origin convicted of leading local militia in multiple massacres of Tutsi civilians in western Rwanda in 1994. The first genocide conviction in Swedish history, relying extensively on Swedish-police field investigations in Rwanda.",Swedish UJ over genocide | Cross-border police investigation methodology,https://www.bbc.com/news/world-africa-22992242,Civil Rights Defenders,,,,,,,2,
sweden-berinkindi-rwanda,Claver Berinkindi (Rwanda — Gitarama massacres),Svea hovrätt B 2259-15,Sweden,Stockholms tingsrätt / Svea hovrätt,2016-05-16,2016,Rwanda,Genocide; Murder; War crimes,Universal jurisdiction / active personality (Swedish citizen),criminal,Life imprisonment (upheld; HD denied review),conviction,No,Swedish,,Swedish-Rwandan businessman convicted of organising large-scale massacres of Tutsi in Gitarama Prefecture in 1994 and personally shooting victims. Sweden's second genocide conviction; Svea hovrätt upheld life imprisonment in May 2016 and the Högsta domstolen denied leave to appeal.,Second Swedish UJ genocide conviction,https://www.newtimes.co.rw/article/137989/News/swedish-appeals-court-upholds-berinkindi-life-jail-term,Civil Rights Defenders,,,,,,,2,
sweden-tabaro-rwanda,Theodor Tabaro / Rukeratabaro (Rwanda — school massacre),Stockholms tingsrätt B 14592-17,Sweden,Stockholms tingsrätt / Svea hovrätt,2018-06-27,2018,Rwanda,Genocide; Gross violation of international law,Universal jurisdiction / active personality (Swedish citizen),criminal,Life imprisonment (upheld on appeal 2019),conviction,No,Swedish,,"Örebro resident (who had changed his name from Rukeratabaro) convicted of leading an interahamwe unit that killed hundreds of Tutsi sheltering at a school in Kigali-Rural in April 1994. Sweden's third genocide conviction, notable for the appellate court's on-site evidence-gathering visit to Rwanda.",Third Swedish UJ genocide conviction | In situ appellate evidence-gathering in Rwanda,https://www.newtimes.co.rw/article/166136/Kwibuka/swedish-court-upholds-life-sentence-for-genocide-convict-rukeratabaro,Civil Rights Defenders,,,,,,,2,
southafrica-zimbabwe-torture-docket,National Commissioner SAPS v. SALC (Zimbabwe Torture Docket),CCT 02/14; [2014] ZACC 30,South Africa,Constitutional Court of South Africa,2014-10-30,2014,Zimbabwe,Torture as crime against humanity,Universal jurisdiction (ICC Implementation Act 27 of 2002; CAT),criminal,SAPS ordered to open formal investigation (unanimous),other,No,English,,"After SAPS refused to investigate a SALC dossier on Zimbabwean state torture of MDC activists, the Constitutional Court unanimously held that South African law and international obligations require investigation of crimes against humanity occurring abroad. A landmark African UJ ruling establishing the duty to investigate as non-discretionary.",Duty to investigate CAH abroad is mandatory | ICC Implementation Act read in light of customary international law,https://www.saflii.org/za/cases/ZACC/2014/30.html,Southern Africa Litigation Centre; Zimbabwe Exiles Forum,,,,,,,2,
senegal-eac-habre-trial,Hissène Habré — EAC Trial Chamber Judgment,EAC Case No. 002/2015,Senegal (Extraordinary African Chambers),Chambres Africaines Extraordinaires — Trial Chamber,2016-05-30,2016,Chad,Crimes against humanity; War crimes; Torture; Rape; Sexual slavery,Hybrid tribunal / universal jurisdiction (AU–Senegal Agreement 2012),criminal,Life imprisonment + USD 123 million reparations,conviction,No,French,,"First-instance EAC judgment convicting former Chadian President Habré for atrocities committed during his 1982–1990 rule. The first time an African court applied universal jurisdiction under the AU framework to convict a former head of state, with major rulings on command responsibility, sexual slavery, and individual reparations.",UJ conviction of former head of state by African court | Sexual slavery as CAH | Individual reparations award,https://www.hrw.org/sites/default/files/supporting_resources/chad_habre_trial_judgment_2016_05_30.pdf,Human Rights Watch; FIDH; AVCRP,,,,,,,1,
senegal-eac-habre-appeal,Hissène Habré — EAC Appeals Chamber Judgment,EAC Appeals Chamber 002/2015,Senegal (Extraordinary African Chambers),Chambres Africaines Extraordinaires — Appeals Chamber,2017-04-27,2017,Chad,Crimes against humanity; War crimes; Torture; Sexual slavery,Hybrid tribunal / universal jurisdiction (AU–Senegal Agreement),criminal,Conviction upheld (life imprisonment); personal rape acquittal,conviction,No,French,,"The EAC Appeals Chamber upheld Habré's life sentence for CAH, war crimes and torture while modifying the judgment to acquit him personally of rape and affirming sexual slavery as CAH. The first appellate confirmation of an African head-of-state UJ conviction.",Appellate confirmation of UJ conviction of former head of state | Sexual slavery doctrine refined,https://www.icj.org/atrocity-conviction-of-chads-ex-dictator-hissene-habre-upheld/,Human Rights Watch; FIDH; ICJ,,,,,,,1,
argentina-querella-franco,Querella Argentina (Franco-era crimes in Spain),Causa No. 4591/2010,Argentina,Juzgado Nacional en lo Criminal y Correccional Federal No. 1 (Buenos Aires),2014-10-30,2014,Spain,Genocide; Crimes against humanity; Enforced disappearance; Torture; Extrajudicial killing,Universal jurisdiction (Argentine Penal Code; customary international law),criminal,Ongoing — international arrest warrants and indictments issued; Spain refuses extradition,ongoing,No,Spanish,,"The only criminal investigation in the world targeting Francoist crimes (1936–1977), opened after Spain's own courts closed relevant proceedings. Judge Servini de Cubría has issued international arrest warrants against former Francoist officials (including ex-Interior Minister Martín Villa) and indicted over 20 suspects. Spain has uniformly refused extradition.",Argentine UJ over crimes abroad against non-Argentine victims | Imprescriptibility of CAH and enforced disappearance,https://baltasargarzon.org/memoria-historica/querella-argentina/,CEAQUA; ARMH; Fundación Internacional Baltasar Garzón,,,,,,,2,
italy-abu-omar-rendition,Abu Omar / Nasr (Italy — CIA extraordinary rendition),Cass. pen. n. 46340/2012,Italy,Tribunale di Milano / Corte d'appello / Corte di Cassazione,2012-11-29,2012,Italy / Egypt,Kidnapping (sequestro di persona); Complicity in torture,Territorial (abduction in Milan) + active/passive personality for Italian co-conspirators,criminal,23 CIA officers + 1 USAF colonel convicted in absentia (7–9 yrs); 2 SISMI officers convicted,conviction,No,Italian,,"Egyptian cleric Hassan Mustafa Osama Nasr (Abu Omar) was seized on a Milan street by CIA and Italian intelligence in 2003 and rendered to Egypt, where he was tortured. The Milan Tribunal's 2009 judgment was the world's first trial of an extraordinary rendition operation; the Cassazione's 2012 ruling upheld most CIA convictions and confirmed that extraordinary rendition constitutes criminal kidnapping.",Extraordinary rendition = criminal kidnapping | State secrecy doctrine limits | Trials in absentia of foreign intelligence officers,https://opil.ouplaw.com/display/10.1093/law-ildc/1960it12.case.1/,Reprieve; Open Society Justice Initiative,,,,,,,2,
france-kabuga-irmct,Félicien Kabuga (France — arrest and surrender to the IRMCT),20-83.181,France,Cour de cassation (Chambre criminelle),2020-09-30,2020,Rwanda,Genocide; Crimes against humanity,Territorial arrest / cooperation with international mechanism,criminal,Transfer to the IRMCT confirmed,transfer,No,French,,"Félicien Kabuga, the ICTR/IRMCT’s most wanted fugitive, was arrested near Paris on 16 May 2020 after decades on the run. The Cour de cassation rejected his challenge and confirmed his surrender to the Mechanism (chambre de l’instruction Paris, 3 June 2020). The case bridges the national layer and the tribunals layer (IRMCT).",National courts’ role in executing international arrest warrants; judicial control over surrender to the IRMCT.,https://www.courdecassation.fr/decision/5fca327e89bc1fbc73ddc6dd,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
netherlands-basebya-rwanda,"Yvonne Basebya (Rwanda — Netherlands, incitement to genocide)",09/748004-09,Netherlands,District Court of The Hague,2013-03-01,2013,Rwanda,Incitement to genocide,Active personality (naturalised Dutch citizen),criminal,6 years and 8 months imprisonment,conviction,No,Dutch,,"First Dutch conviction for incitement to genocide: Yvonne Basebya, a naturalised Dutch citizen and CDR figure in Kigali, was convicted for inciting genocide through anti-Tutsi songs and meetings before April 1994. The Hoge Raad later ruled on her revision request.",Incitement to genocide as a stand-alone offence; evidentiary standards for pre-genocide incitement.,https://uitspraken.rechtspraak.nl/details?id=ECLI:NL:HR:2015:1230,,,,,,,,2,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
belgium-sharon-yaron,H.S.A. et al. v. Ariel Sharon & Amos Yaron (Sabra and Shatila — Belgium),P.02.1139.F,Belgium,Cour de cassation (Belgium),2003-02-12,2003,Lebanon,Genocide; Crimes against humanity; War crimes,Universal jurisdiction (loi du 16 juin 1993 / 10 février 1999),criminal,Proceedings ended after the 2003 repeal of the universal jurisdiction law,dismissed,No,French,,"Complaint by survivors of the 1982 Sabra and Shatila massacre against Ariel Sharon, Amos Yaron and others. The Cour de cassation held that the 1993/1999 law did not require the accused’s presence in Belgium, while sitting foreign officials enjoyed immunity. The diplomatic storm that followed led to the repeal of the Belgian universal jurisdiction law in August 2003.",Presence not required for prosecution under the 1993/1999 law; immunity of incumbent foreign officials; the political limits of universal jurisdiction.,https://juportal.be/content/ECLI:BE:CASS:2003:CONC.20030212.22,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
france-javor-bosnia,In re Javor (Bosnian victims — France),95-81.527,France,Cour de cassation (Chambre criminelle),1996-03-26,1996,Bosnia and Herzegovina,Genocide; War crimes; Torture,Universal jurisdiction (attempted — rejected),criminal,French courts held to lack jurisdiction,dismissed,No,French,,"Bosnian refugees, supported by Cimade and the LDH, sought prosecution in France of crimes committed in Bosnian camps. The Cour de cassation confirmed the lack of French jurisdiction, holding the Geneva Conventions not directly applicable — the negative landmark that shaped France’s later statutory universal jurisdiction regime.",Geneva Conventions not self-executing in French law; need for statutory implementation of universal jurisdiction.,https://www.legifrance.gouv.fr/juri/id/JURITEXT000007068336,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
france-disparus-oran,"Disappeared of Oran, 5 July 1962 (France — Algeria)",91-82.246,France,Cour de cassation (Chambre criminelle),1991-11-14,1991,Algeria,Crimes against humanity (complaint),Passive personality,criminal,Venue settled (Paris); prosecution did not proceed,procedural,No,French,,Complaint with civil-party constitution by the wife of a man disappeared in Oran on 5 July 1962. The Cour de cassation settled venue for crimes committed abroad by unidentified perpetrators — part of the pre-1994 French crimes-against-humanity jurisprudence alongside Boudarel.,Venue for extraterritorial crimes against unidentified perpetrators; scope of pre-1994 CAH qualification.,https://www.legifrance.gouv.fr/juri/id/JURITEXT000007066570,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
spain-falun-gong,Falun Gong (Spain — universal jurisdiction over China),STC 227/2007,Spain,Tribunal Constitucional (Sala Segunda),2007-10-22,2007,China,Genocide; Torture,"Universal jurisdiction (art. 23.4 LOPJ, pre-2009 reform)",criminal,Amparo granted — investigation ordered reopened,procedural,No,Spanish,,Constitutional amparo applying the STC 237/2005 (Guatemala) doctrine of broad universal jurisdiction to the Falun Gong complaint against Chinese leaders — part of the Spanish UJ arc later curtailed by the 2009 and 2014 reforms.,Universal jurisdiction under art. 23.4 LOPJ requires no national link (pre-reform doctrine); right to effective judicial protection of the complainants.,https://hj.tribunalconstitucional.es/HJ/es/Resolucion/Show/6194,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
argentina-simon,"Simón, Julio Héctor y otros (Argentina — annulment of the amnesty laws)",Causa n° 17.768,Argentina,Corte Suprema de Justicia de la Nación,2005-06-14,2005,Argentina,Crimes against humanity; Enforced disappearance,Territorial,criminal,Amnesty laws declared unconstitutional; prosecutions reopened,landmark_ruling,No,Spanish,,"The landmark declaring the Punto Final and Obediencia Debida laws unconstitutional and void, reopening the prosecutions of dictatorship-era crimes against humanity across Argentina.",Amnesties for crimes against humanity are unconstitutional and void; imprescriptibility grounded in ius cogens and the Inter-American system (Barrios Altos).,https://sjconsulta.csjn.gov.ar/sjconsulta/documentos/verDocumentoByIdLinks498.html?idAnalisis=586338,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
argentina-arancibia-clavel,"Arancibia Clavel (Argentina — Prats assassination, imprescriptibility)",Causa n° 259,Argentina,Corte Suprema de Justicia de la Nación,2004-08-24,2004,Argentina,"Crimes against humanity (aggravated homicide; criminal association — DINA agent, assassination of General Carlos Prats and Sofía Cuthbert, 1974)",Territorial,criminal,Imprescriptibility affirmed; conviction stands,landmark_ruling,No,Spanish,,The CSJN held crimes against humanity imprescriptible on the basis of peremptory norms of customary international law incorporated with constitutional rank — decided against a Chilean DINA agent for the 1974 Buenos Aires assassination of General Prats.,Imprescriptibility of crimes against humanity under customary international law applies retroactively without violating legality.,https://sjconsulta.csjn.gov.ar/sjconsulta/documentos/verDocumentoByIdLinks498.html?idAnalisis=565288,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
guatemala-rios-montt,José Efraín Ríos Montt & Mauricio Rodríguez Sánchez (Guatemala — Ixil genocide),C-01076-2011-00015,Guatemala,Tribunal Primero de Sentencia Penal de Mayor Riesgo A / Corte de Constitucionalidad,2013-05-10,2013,Guatemala,Genocide; Crimes against the duties of humanity,Territorial,criminal,Conviction (80 years) annulled by the Constitutional Court on 20 May 2013; retrial ongoing at Ríos Montt’s death (2018); Rodríguez Sánchez acquitted (2018),conviction_annulled,No,Spanish,,The first conviction of a former head of state for genocide by a national court in his own country: on 10 May 2013 Ríos Montt was sentenced to 80 years for the genocide of the Maya Ixil. Ten days later the Corte de Constitucionalidad annulled the verdict on procedural grounds. The CC’s amparo line around the trial is indexed on its official portal.,Head-of-state accountability before domestic courts; amparo as both a defence tool and a systemic obstacle; victims’ participation (querellantes adhesivos).,https://jurisprudencia.cc.gob.gt/Sentencias/824470.1905-2013.pdf,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
peru-fujimori,Alberto Fujimori (Peru — Barrios Altos / La Cantuta),Exp. A.V. 19-2001,Peru,Sala Penal Especial de la Corte Suprema / Tribunal Constitucional,2009-04-07,2009,Peru,"Crimes against humanity (qualified homicide, grave injuries, aggravated kidnapping — Barrios Altos and La Cantuta)",Territorial (after extradition from Chile),criminal,25 years imprisonment (2009); humanitarian pardon litigation 2017-2023; released Dec 2023; died Sept 2024,conviction,No,Spanish,,"The first conviction of a democratically elected former head of state, extradited by his own region, for crimes against humanity: 25 years for the Barrios Altos and La Cantuta killings under autoría mediata (control over an organised apparatus of power). The Tribunal Constitucional’s habeas corpus / pardon line (2022-2025) governed his release against the IACtHR’s objections.",Autoría mediata of a head of state over an organised apparatus of power; pardon vs. supranational obligations; victims’ rights in execution of sentence.,https://www.tc.gob.pe/jurisprudencia/2025/03878-2021-HC.html,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-sosa-alvarez-machain,Sosa v. Alvarez-Machain (US — ATS framework),542 U.S. 692,United States,Supreme Court of the United States,2004-06-29,2004,Mexico,Arbitrary detention (cross-border abduction) — ATS civil claim,Alien Tort Statute (civil),civil,Claim rejected; ATS framework established,landmark_ruling,No,English,,"The framework ruling limiting ATS claims to violations of international-law norms as specific, universal and obligatory as the 18th-century paradigms — the gateway through which every modern ATS atrocity claim must pass.","ATS is jurisdictional; federal courts may recognise a narrow set of causes of action for specific, universal, obligatory norms of international law.",https://www.courtlistener.com/opinion/137006/sosa-v-alvarez-machain/,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-samantar-yousuf,"Yousuf v. Samantar (US — Somalia, foreign-official immunity)",560 U.S. 305 / 699 F.3d 763,United States,Supreme Court of the United States / Fourth Circuit,2010-06-01,2010,Somalia,Torture; Extrajudicial killing (TVPA/ATS civil),ATS / TVPA (civil),civil,No immunity; $21 million judgment against Samantar (2012),judgment_for_plaintiffs,No,English,,Somali victims sued former Prime Minister and Defence Minister Mohamed Ali Samantar. The Supreme Court held the FSIA does not shield individual foreign officials; on remand the Fourth Circuit held there is no common-law immunity for jus cogens violations — one of the clearest national immunity rulings anywhere.,FSIA inapplicable to individual officials; no foreign-official immunity for jus cogens violations (4th Cir. 2012).,https://www.courtlistener.com/opinion/147531/samantar-v-yousuf/,,,,,,,,2,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-kadic-karadzic,"Kadić v. Karadžić (US — Bosnia, private-actor liability)",70 F.3d 232,United States,"U.S. Court of Appeals, Second Circuit",1995-10-13,1995,Bosnia and Herzegovina,Genocide; War crimes; Crimes against humanity (civil),ATS / TVPA (civil),civil,Claims reinstated; $4.5 billion default jury verdict (2000),judgment_for_plaintiffs,No,English,,"Bosnian victims sued Radovan Karadžić in New York. The Second Circuit held that genocide and war crimes are actionable against private individuals without state action, and that a de facto authority’s leader can be reached — a pillar of civil accountability for non-state actors.",Genocide and war crimes do not require state action; ATS reaches leaders of unrecognised de facto regimes.,https://www.courtlistener.com/opinion/7034388/kadic-v-karadzic/,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-belfast-chuckie-taylor,United States v. Belfast (Chuckie Taylor — first US torture-statute conviction),611 F.3d 783,United States,"U.S. Court of Appeals, Eleventh Circuit",2010-07-15,2010,Liberia,Torture; Conspiracy; Firearms offences,Active personality / extraterritorial torture statute (18 U.S.C. § 2340A),criminal,97-year sentence affirmed,conviction,No,English,,"Roy Belfast Jr. (Charles “Chuckie” Taylor Jr.), son of the Liberian president, was convicted for torture committed as head of Liberia’s Anti-Terrorist Unit — the first (and long the only) conviction under the US extraterritorial torture statute.",Constitutionality and extraterritorial reach of 18 U.S.C. § 2340A; CAT implementation in US criminal law.,https://www.courtlistener.com/opinion/150723/united-states-v-belfast/,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-forti-suarez-mason,"Forti v. Suarez-Mason (US — Argentine Dirty War, ATS)",694 F. Supp. 707,United States,"U.S. District Court, N.D. California",1988-07-25,1988,Argentina,Torture; Prolonged arbitrary detention; Summary execution; Disappearance (civil),ATS (civil),civil,Claims allowed to proceed; default judgment,judgment_for_plaintiffs,No,English,,"ATS suit by Argentine victims against General Carlos Guillermo Suárez-Mason, former commander of the First Army Corps — early post-Filártiga jurisprudence defining which norms are actionable, including recognition of causes of action for disappearance.","Actionability under the ATS of torture, prolonged arbitrary detention, summary execution and (on reconsideration) disappearance.",https://www.courtlistener.com/opinion/1874332/forti-v-suarez-mason/,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-xuncax-gramajo,Xuncax v. Gramajo / Ortiz v. Gramajo (US — Guatemala),886 F. Supp. 162,United States,"U.S. District Court, D. Massachusetts",1995-04-12,1995,Guatemala,Torture; Summary execution; Disappearance; Arbitrary detention (civil),ATS / TVPA (civil),civil,Default judgments (approx. $47.5 million),judgment_for_plaintiffs,No,English,,Default judgments against Guatemalan Defence Minister Héctor Gramajo in favour of Kanjobal Maya villagers and US nun Dianna Ortiz — command responsibility of a minister for atrocities by forces under his control.,Command responsibility under ATS/TVPA; service of process while the defendant studied in the US.,https://www.courtlistener.com/opinion/1477125/xuncax-v-gramajo/,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-doe-exxon,"Doe v. Exxon Mobil (US — Aceh, corporate)",393 F. Supp. 2d 20,United States,"U.S. District Court, District of Columbia",2005-10-14,2005,Indonesia,"Torture; Arbitrary detention (civil, corporate defendant)",ATS / TVPA (civil),civil,Two decades of litigation; settled 2023,settlement,Yes,English,,Acehnese villagers sued ExxonMobil over abuses by Indonesian security forces guarding the Arun gas field. The 2005 opinion let core claims proceed; after twenty years of litigation the case settled on the eve of trial in 2023 — a pillar of the corporate-accountability strand.,"Corporate exposure for security-force abuses; interplay of ATS, TVPA and state-law claims.",https://www.courtlistener.com/opinion/2455787/doe-v-exxon-mobil-corp/,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
us-sarei-rio-tinto,"Sarei v. Rio Tinto (US — Bougainville, corporate)",671 F.3d 736,United States,"U.S. Court of Appeals, Ninth Circuit (en banc)",2011-10-25,2011,Papua New Guinea,"Genocide; War crimes (civil, corporate defendant)",ATS (civil),civil,Genocide/war-crimes claims reinstated en banc; dismissed after Kiobel (2013),dismissed,Yes,English,,Bougainville islanders sued Rio Tinto over the deaths surrounding the Panguna mine blockade. The en banc Ninth Circuit reinstated the genocide and war-crimes claims before the case fell to Kiobel’s presumption against extraterritoriality.,Corporate ATS liability for genocide/war crimes (pre-Kiobel); exhaustion of local remedies.,https://www.courtlistener.com/opinion/616018/sarei-v-rio-tinto-plc/,,,,,,,,1,Added from the 2026-07 Legal Data Hunter enrichment (see enrichment/ folder)
